Titre VF;Titre VO;Auteur(s);Format;Lectorat;Genre 1;Genre 2;Editeur;Collection;Année;Nombre de pages;Langue;Note personnelle (/20);Moyenne (/20);Date de lecture;Date d'achat;Type de livre;ISBN;Résumé
50 cents;;Carreras Thomas;Roman;Adolescence;Humour;;Sarbacane;Exprim';2013;342;Française;;13,8;;29/06/2022 19:06;Livre papier;2848656115;"50 cents, c'est : Une virée folle à San Francisco. 

- Au menu : Un baron du crime russe, une tueuse bien tarée, un chef de guerre zimbabwéen adepte de la machette, un biker au tee-shirt zz top rose fluo et des flics patibulaires.

- Ce qui les rassemble : Une pièce de 50 cents magique...

- Ca te branche ? Alors laisse tomber la chemise hawaïenne, enfile ton gilet pare-balles et dis au revoir à ta mère, parce que ça va chauffer !"
54 minutes;This Is Where It Ends;Nijkamp Marieke;Roman;Young Adult;Contemporain;;Sourcebooks;;2016;292;Anglaise;;16,2;;04/04/2024 17:26;Livre papier;;"Opportunity School, Alabama. Les élèves sont réunis pour écouter leur directrice. Mais lorsque le discours s’achève, l’un d’entre eux, Tyler Browne, verrouille les portes et tire sur la foule.

Commencent alors cinquante-quatre minutes de massacre, cinquante-quatre minutes glaçantes racontées dans les messages des victimes à leurs proches et par quatre élèves, à l’intérieur et à l’extérieur de la salle. Tous ont un lien avec Tyler  : Claire, son ex-petite amie, Autumn, sa propre sœur, Sylvia, la petite amie d’Autumn et le frère de celle-ci, Thomas.

Cinquante-quatre minutes pendant lesquelles Tyler force ses otages terrorisés à l’écouter se plaindre. Il n’a jamais été aimé, ni par sa petite amie Claire, ni par son père violent et alcoolique, et encore moins par sa sœur Autumn, à laquelle il ne pardonne pas de vouloir partir à New York pour être danseuse.

Mais loin d’être une victime, Tyler est avant tout un psychopathe, qui assassine trente-neuf personnes."
99 jours, tome 1;99 days;Cotugno Katie;Roman;Adolescence;Contemporain;;Balzer + Bray;;2015;372;Anglaise;;13,3;;09/07/2022 22:38;Livre papier;;99 jours. Une éternité. Le temps qu’il me reste avant de partir à l’université. J’aurais dû être heureuse de passer l’été chez moi. Mais tout le monde me déteste. C’est ce qui arrive quand vous passez la nuit avec le frère de votre petit ami. Et que votre mère ne trouve rien de mieux qu’écrire un best-seller à peine romancé sur cette histoire. Depuis, on me regarde de travers, on jette des oeufs sur ma maison, on me harcèle. Le pire dans tout ça ?Je ne sais toujours pas quel frère choisir.
A comme aujourd'hui;Every Day;Levithan David;Roman;Adolescence;Romance;;Gallimard ;;2015;448;Française;;16,6;;18/11/2024 21:34;Livre papier;9,78E+12;"Chaque jour un nouveau corps. Chaque jour une vie différente. Chaque jour amoureux de la même fille.

Il ne peut jamais prévoir où ou qui il sera. A s'y est maintenant habitué et a même établi certaines règles de conduite : ne jamais s'attacher. Faire en sorte de ne pas se faire remarquer. Ne pas s'impliquer.

Tout suit son cours jusqu'au matin où A se réveille dans le corps de Justin et rencontre sa copine, Rhiannon. A partir de ce moment, A balayent les règles qui gouvernent sa vie. Parce qu'il a maintenant trouvé quelqu'un avec qui il veut passer sa vie. Du matin au soir, jour après jour."
À l'ouest, rien de nouveau;Im Westen nichts Neues;Remarque Erich Maria;Roman;Adulte;Historique;Histoire vraie;Le Livre de Poche;;2013;254;Française;;16,2;;24/06/2019 16:19;Livre papier;;« Quand nous partons, nous ne sommes que de vulgaires soldats, maussades ou de bonne humeur et, quand nous arrivons dans la zone où commence le front, nous sommes devenus des hommes- bêtes. ». Témoignage d'un simple soldat allemand de la guerre 1914-1918, À l'ouest rien de nouveau, roman pacifiste, réaliste et bouleversant, connut, dès sa parution én 1928, un succès mondial retentissant et reste l'un des ouvrages les plus remarquables sur la monstruosité de la guerre.
A la ligne ;;Martinière Julien et Ponthus Joseph;Bande-dessinée;Adulte;Contemporain;;Sarbacane;;2024;208;Française;;16,2;;30/11/2024 20:09;Livre papier;9,78E+12;Un roman coup de poing, estomaquant, du jamais LU, qui devient sous la plume de Julien Martinière un Roman Graphique jamais VU ! C'est l'histoire d'un ouvrier intérimaire, Joseph Ponthus, qui embauche dans les conserveries de poissons et les abattoirs bretons. Jour après jour, il inventorie avec une infinie précision les gestes du travail à la ligne, le bruit, la fatigue, les rêves confisqués dans la répétition de rituels épuisants, la souffrance du corps. Ce qui le sauve, c'est qu'il a eu une autre vie. Il connaît les auteurs latins, il a vibré avec Dumas, il sait les poèmes d'Apollinaire et les chansons de Trenet. C'est sa victoire provisoire contre tout ce qui fait mal, tout ce qui aliène. Et, en allant à la ligne, on trouvera dans les blancs du texte la femme aimée, le bonheur dominical, le chien Pok Pok, l'odeur de la mer. Par la magie d'une écriture tour à tour distanciée, coléreuse, drôle, fraternelle, la vie ouvrière devient une odyssée où Ulysse combat des carcasses de boeufs et des tonnes de bulots comme autant de cyclopes.
À la place du coeur, tome 1;;Cathrine Arnaud;Roman;Adolescence;Romance;Contemporain;Robert Laffont;;2015;252;Française;;16,1;;19/12/2023 00:13;Ebook;;"Six jours dans la vie de Caumes qui vit son premier amour.
Six jours de janvier 2015 où la France bascule dans l'effroi.

Ce soir, Caumes a 17 ans et attend le déluge. Il ne sait qu'une chose : à la fin de l'année, il quittera sa ville natale pour rejoindre son frère aîné à Paris. Paris, la ville rêvée. Ce soir, Caumes a 17 ans et attend aussi le miracle qui, à son grand étonnement, survient : Esther – sujet de tous ses fantasmes – se décide enfin à lui adresser plus de trois mots, à le regarder droit dans les yeux et à laisser deviner un « plus si affinités »...
Nous sommes le mardi 6 janvier 2015 et le monde de Caumes bascule : le premier amour s'annonce et la perspective obsédante de la « première fois ». Sauf que le lendemain, c'est la France qui bascule à son tour : deux terroristes forcent l'entrée du journal Charlie Hebdo et font onze victimes...
À la place du coeur, c'est ça : une semaine, jour après jour, et quasiment heure par heure, à vivre une passion sauvageonne et exaltante ; mais une semaine également rivée sur les écrans à tenter de mesurer l'horreur à l'oeuvre, à tenter de ne pas confondre l'information en flux continu avec un thriller télé de plus. Comment l'amour (qui, par définition, postule que « le monde peut bien s'écrouler ») cohabite-t-il avec la mort en marche ? Comment faire tenir ça dans un seul corps, dans une seule conscience ? Comment respirer à fond le parfum de la fille qu'on aime et comprendre, dans le même temps, que le monde qui nous attend est à terre ?"
À la place du coeur, tome 2;;Cathrine Arnaud;Roman;Adolescence;Romance;Contemporain;Robert Laffont;;2017;291;Française;;17,3;;19/12/2023 00:14;Livre papier;;"Cette saison est celle de l'éprouvant retour de Caumes à la vie. Il est raconté par son cousin, Niels, depuis la côte Atlantique : tout un été à tenter de sortir Caumes de sa torpeur muette et rageuse. Puis c'est Esther qui prend la parole : elle dont Caumes s'est peu à peu éloigné ; elle dont l'amour ne lâche pas ; elle qui, faute de pouvoir tourner la page, s'est persuadée qu'un après était possible dans ses bras. Mais ces jeunes adultes sont aussi les enfants de novembre, les enfants du Bataclan, du Carillon, du Petit Cambodge. La vie n'a pas fini d'être mise à l'épreuve. La vie n'a pas fini d'être à réinventer."
À la place du coeur, tome 3;;Cathrine Arnaud;Roman;Adolescence;Romance;Contemporain;Robert Laffont;;2018;304;Française;;16,5;;19/12/2023 00:14;Livre papier;;Caumes, je viens de terminer ton livre: il est immonde. Je ne t'embrasse pas. Je ne t'embrasserai plus. Esther.
A million kisses in your lifetime;;Murphy Monica;Roman;Adulte;Romance;Contemporain;Penguin Books;;2022;554;Anglaise;;15,3;;17/06/2024 23:43;Livre papier;9,78E+12;"Depuis qu’il a posé les yeux sur elle, il n’a qu’une envie : la posséder.

On veut toujours ce qu’on ne peut pas avoir. Et ce que Crew convoite est précisément cela. Wren. Aux yeux de tous, elle est parfaite, discrète, naturelle et douce. Mais Crew ne la voit pas de la même manière, il la désire différemment. Et il n’a surtout pas envie d’être tendre avec elle. Non, il veut plus que ça, il veut tout lui prendre : son cœur, son innocence, sa virginité. Depuis qu’ils se côtoient au lycée, elle ne lui a jamais prêté la moindre attention. Alors, lorsqu’ils sont forcés de collaborer pour un projet de groupe, Crew sent que leur relation est sur le point d’évoluer. Wren n’aura pas d’autre choix que de lui adresser la parole. Et alors elle aura déjà perdu. Car il compte bien briser les murs qu’elle a érigés autour d’elle, tout détruire jusqu’à ce qu’il ne reste plus rien. Après tout, Crew est un Lancaster, il est capable du pire, y compris de faire succomber la fille la plus pure du lycée."
À nos amours manquées;;Eberlen Kate;Roman;Adulte;Romance;;Pocket;;2018;572;Française;;17,3;;16/11/2021 17:02;Livre papier;2266282964;"Août 1997. Tree achève un mois de vacances en Italie avec sa meilleure amie, avant d'entrer à l'université. Un dernier jour d'insouciance à Florence avant le drame qui attend sa famille et qui va bouleverser son existence à jamais.
Gus est lui aussi en vacances à Florence, avec ses parents. La vie de sa famille a déjà changé de manière soudaine depuis que son frère a disparu, et Gus ne pense qu'à voler de ses propres ailes.
Ce jour-là, ces deux inconnus admirent côte à côte la basilique San Miniato al Monte...
Au cours des seize années suivantes, leurs chemins vont se croiser au gré des hasards du destin, quelques secondes à peine, sans que l'un ou l'autre s'en aperçoive. De coïncidence en coïncidence, Gus et Tree auront-ils un jour l'occasion de se découvrir ?"
À quoi rêvent les étoiles;;Fargetton Manon;Roman;Young Adult;Contemporain;;Gallimard ;;2022;423;Française;;17,1;;29/06/2022 19:08;Livre papier;9,78E+12;"Titouan ne sort plus de sa chambre. Alix rêve de théâtre. Luce reste inconsolable depuis la mort de son mari. Gabrielle tient trop à sa liberté pour s'attacher. Armand à construit sa vie entière autour de sa fille. Cinq personnages, cinq solitudes que tout sépare. Il suffira pourtant d'un numéro inconnu s'affichant sur un téléphone pour que leurs existences s'entrelacent... ""Hasard, destin, alignement de planètes...
Appelez ça comme vous voulez, moi j'appelle ça magie""."
À un cheveu;;Desard Maëlle;Roman;Young Adult;Contemporain;;Slalom;;2022;313;Française;;17,4;;23/04/2025 14:52;Livre papier;9,78E+12;"Un grand bain d'humour et d'empowerment
À 17 ans, Emma aime la natation, son frère presque jumeau, le chocolat et dessiner dans les marges de ses cahiers. Elle serait à un cheveu de la belle vie si elle n'avait pas perdu les siens, de cheveux, deux ans plus tôt (tandis que le reste de ses poils a continué à pousser, merci bien !). Affublée d'une perruque avec laquelle elle entretient une relation d'amour-haine quasi mystique, Emma décide de profiter du déménagement de sa famille pour repartir de zéro. Nouvelle vie, nouveaux amis... et peut-être un premier amour !
Un roman lumineux sur l'acceptation de soi et de son corps, résolument féministe et universel !"
ABC...;;Da Silva Antonio;Roman;Adolescence;Contemporain;;du Rouergue;;2020;176;Française;;16,3;;03/11/2024 22:25;Livre papier;9,78E+12;"Bamako, capitale du Mali, Jomo a une passion dévorante pour le basket. Son rêve ? Passer pro. Grâce à Richard, un recruteur pour des clubs européens, il va intégrer l'Academy, un centre de formation français où des jeunes du monde entier viennent se former. Mais Jomo a aussi un secret, une honte qui le ronge, il ne sait ni lire ni écrire. Quand son coach l'apprend, il convainc Jomo d'intégrer un cours d'alphabétisation.
Là-bas, le jeune homme est le seul garçon, entouré de femmes venant du monde entier et aux histoires bien différentes. A leur contact, il va changer, s'épanouir et rencontrer Rosa-Rose, la fille de la prof..."
